"filename", "language", "HTML", "PostCSS", "JavaScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\content\star_alternative_empty.svg", "XML", 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\content\success.svg", "XML", 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\content\watches.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\cursors\cursor_diamond_active.svg", "XML", 0, 0, 0, 57, 0, 1, 1, 59
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\cursors\cursor_diamond_default.svg", "XML", 0, 0, 0, 6, 0, 1, 1, 8
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\cursors\cursor_diamond_pointer.svg", "XML", 0, 0, 0, 15, 0, 1, 1, 17
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\logo.svg", "XML", 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\navigation\nav_back.svg", "XML", 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\navigation\nav_home.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\navigation\nav_notifications.svg", "XML", 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\navigation\nav_quit.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
