"filename", "language", "HTML", "PostCSS", "JavaScript", "PHP", "JSON", "XML", "comment", "blank", "total"
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\main.html", "HTML", 240, 0, 0, 0, 0, 0, 25, 31, 296
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\account.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\account_header.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\arrow_down_red.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\arrow_up_green.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\chalkboard_person.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\check-list.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\clock.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\comment.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\courses1.svg", "XML", 0, 0, 0, 0, 0, 35, 0, 1, 36
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\courses2.svg", "XML", 0, 0, 0, 0, 0, 35, 0, 1, 36
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\courses3.svg", "XML", 0, 0, 0, 0, 0, 35, 0, 1, 36
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\courses4.svg", "XML", 0, 0, 0, 0, 0, 35, 0, 1, 36
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\courses5.svg", "XML", 0, 0, 0, 0, 0, 62, 0, 1, 63
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\error.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\in-development.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\information.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\level_progress.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\loading.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medal-solid1.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medal-solid2.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medals_level1.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medals_level2.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medals_level3.svg", "XML", 0, 0, 0, 0, 0, 22, 0, 1, 23
