"filename", "language", "HTML", "PHP", "JavaScript", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\allClientOrders.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 25, 79
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\authorization-check.js", "JavaScript", 0, 0, 18, 0, 0, 0, 13, 13, 44
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\authorization.js", "JavaScript", 0, 0, 85, 0, 0, 0, 20, 35, 140
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\changeAccountInfo.js", "JavaScript", 0, 0, 179, 0, 0, 0, 8, 38, 225
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\data.json", "JSON", 0, 0, 0, 0, 152, 0, 0, 2, 154
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\modalwindow.js", "JavaScript", 0, 0, 47, 0, 0, 0, 6, 13, 66
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\passwordInput.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 7, 34
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\passwordInputAuthorization.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 6, 21
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\passwordInputRegistration.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 9, 36
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\quit.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\registration.js", "JavaScript", 0, 0, 158, 0, 0, 0, 6, 38, 202
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\slider.js", "JavaScript", 0, 0, 52, 0, 0, 0, 14, 17, 83
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\smoothappearing.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13, 6, 19
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\smoothscrolling.js", "JavaScript", 0, 0, 30, 0, 0, 0, 1, 4, 35
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\swiper-slider.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\main.html", "HTML", 240, 0, 0, 0, 0, 0, 25, 31, 296
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\account.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\account_header.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\arrow_down_red.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\arrow_up_green.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\chalkboard_person.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\check-list.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\clock.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\comment.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\courses1.svg", "XML", 0, 0, 0, 0, 0, 35, 0, 1, 36
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\courses2.svg", "XML", 0, 0, 0, 0, 0, 35, 0, 1, 36
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\courses3.svg", "XML", 0, 0, 0, 0, 0, 35, 0, 1, 36
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\courses4.svg", "XML", 0, 0, 0, 0, 0, 35, 0, 1, 36
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\courses5.svg", "XML", 0, 0, 0, 0, 0, 62, 0, 1, 63
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\error.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\in-development.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\information.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\level_progress.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\loading.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\1.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\10.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\11.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\12.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\13.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\2.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\3.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
